resume_id,job_title,skill_score,education_score,experience_score,language_score,certification_score,final_score,best_match
0,Fitness Coach,0.0,100.0,100.0,100.0,100.0,55.0,0
1,Physician,0.0,100.0,100.0,100.0,100.0,55.0,0
2,Financial Analyst,0.0,100.0,100.0,100.0,100.0,55.0,0
3,Supply Chain Manager,0.0,100.0,100.0,100.0,100.0,55.0,1
4,Supply Chain Manager,0.0,100.0,100.0,100.0,100.0,55.0,1
5,Database Administrator,0.0,100.0,100.0,100.0,100.0,55.0,0
6,Architect,0.0,100.0,100.0,100.0,100.0,55.0,1
7,Operations Manager,0.0,100.0,100.0,100.0,100.0,55.0,0
8,Database Administrator,0.0,100.0,100.0,100.0,100.0,55.0,0
9,Architect,0.0,100.0,100.0,100.0,100.0,55.0,0
10,Cybersecurity Analyst,0.0,100.0,100.0,100.0,100.0,55.0,1
11,Software Engineer,0.0,100.0,100.0,100.0,100.0,55.0,1
12,Urban Planner,0.0,100.0,100.0,100.0,100.0,55.0,1
13,Machine Learning Engineer,0.0,100.0,100.0,100.0,100.0,55.0,0
14,Personal Trainer,0.0,100.0,100.0,100.0,100.0,55.0,0
15,Biomedical Engineer,0.0,100.0,100.0,100.0,100.0,55.0,1
16,Nurse,0.0,100.0,100.0,100.0,100.0,55.0,0
17,Systems Analyst,0.0,100.0,100.0,100.0,100.0,55.0,0
18,Cybersecurity Analyst,0.0,100.0,100.0,100.0,100.0,55.0,1
19,Financial Analyst,0.0,100.0,100.0,100.0,100.0,55.0,1
20,Product Manager,0.0,100.0,100.0,100.0,100.0,55.0,1
21,Content Writer,0.0,100.0,100.0,100.0,100.0,55.0,1
22,Personal Trainer,0.0,100.0,100.0,100.0,100.0,55.0,0
23,Pharmacist,0.0,100.0,100.0,100.0,100.0,55.0,0
24,Chef,0.0,100.0,100.0,100.0,100.0,55.0,0
25,Software Engineer,0.0,100.0,100.0,100.0,100.0,55.0,1
26,Personal Trainer,0.0,100.0,100.0,100.0,100.0,55.0,1
27,AI Researcher,0.0,100.0,100.0,100.0,100.0,55.0,0
28,Data Analyst,0.0,100.0,100.0,100.0,100.0,55.0,0
29,Psychologist,0.0,100.0,100.0,100.0,100.0,55.0,1
30,Civil Engineer,0.0,100.0,100.0,100.0,100.0,55.0,1
31,Accountant,0.0,100.0,100.0,100.0,100.0,55.0,0
32,Physician,0.0,100.0,100.0,100.0,100.0,55.0,0
33,Systems Analyst,0.0,100.0,100.0,100.0,100.0,55.0,0
34,Urban Planner,0.0,100.0,100.0,100.0,100.0,55.0,1
35,Graphic Designer,0.0,100.0,100.0,100.0,100.0,55.0,1
36,Web Developer,33.33,100.0,100.0,100.0,100.0,70.0,0
37,Cloud Architect,100.0,100.0,100.0,100.0,50.0,95.0,1
38,Graphic Designer,0.0,100.0,100.0,100.0,100.0,55.0,0
39,Data Analyst,0.0,100.0,100.0,100.0,100.0,55.0,0
40,Chef,0.0,100.0,100.0,100.0,100.0,55.0,0
41,Personal Trainer,0.0,100.0,100.0,100.0,100.0,55.0,0
42,Nurse,0.0,100.0,100.0,100.0,100.0,55.0,0
43,Supply Chain Manager,0.0,100.0,100.0,100.0,100.0,55.0,1
44,Accountant,0.0,100.0,100.0,100.0,100.0,55.0,1
45,Operations Manager,0.0,100.0,100.0,100.0,100.0,55.0,0
46,Accountant,0.0,100.0,100.0,100.0,100.0,55.0,1
47,AI Specialist,0.0,100.0,100.0,100.0,100.0,55.0,1
48,Civil Engineer,0.0,100.0,100.0,100.0,100.0,55.0,0
49,Dentist,0.0,100.0,100.0,100.0,100.0,55.0,1
50,Operations Manager,0.0,100.0,100.0,100.0,100.0,55.0,0
51,Personal Trainer,0.0,100.0,100.0,100.0,100.0,55.0,1
52,Pilot,0.0,100.0,100.0,100.0,100.0,55.0,1
53,UX Designer,0.0,100.0,100.0,100.0,100.0,55.0,0
54,Dentist,0.0,100.0,100.0,100.0,100.0,55.0,1
55,Teacher,0.0,100.0,100.0,100.0,100.0,55.0,0
56,Pilot,0.0,100.0,100.0,100.0,100.0,55.0,1
